# rawpaco: FPC RTL/FCL symbol table
# DO NOT EDIT BY HAND. Regenerate with: bash tools/gen_fpc_symbols.sh
# fpc-version: 3.2.2
# generated-from-target: x86_64-linux
# ppu-root: /usr/lib/x86_64-linux-gnu/fpc/3.2.2/units/x86_64-linux
# source-root: /usr/share/fpcsrc/3.2.2
#
# Format (tab separated):
#   U <unit> <strict|loose>   ... start of a unit block
#   G <name> <D|.> <message>  ... unit-level public symbol (D = deprecated)
#   M <name>                  ... other known name (class member, platform-only, ...)
U	system	loose
G	etVirtualMethodResult	.	
G	exDenormalized	.	
G	exInvalidOp	.	
G	exOverflow	.	
G	exPrecision	.	
G	exUnderflow	.	
G	exZeroDivide	.	
G	filerecnamelength	.	
G	float_flag_denormal	.	
G	float_flag_divbyzero	.	
G	float_flag_inexact	.	
G	float_flag_invalid	.	
G	float_flag_overflow	.	
G	float_flag_underflow	.	
G	float_raise	.	
G	float_round_down	.	
G	float_round_nearest_even	.	
G	float_round_to_zero	.	
G	float_round_up	.	
G	fmAppend	.	
G	fmClosed	.	
G	fmInOut	.	
G	fmInput	.	
G	fmOutput	.	
G	fpc_in_abs_long	.	
G	fpc_in_abs_real	.	
G	fpc_in_addr_x	.	
G	fpc_in_aligned_x	.	
G	fpc_in_and_assign_x_y	.	
G	fpc_in_arctan_real	.	
G	fpc_in_assert_x_y	.	
G	fpc_in_assigned_x	.	
G	fpc_in_bitsizeof_x	.	
G	fpc_in_box_x	.	
G	fpc_in_break	.	
G	fpc_in_bsf_x	.	
G	fpc_in_bsr_x	.	
G	fpc_in_chr_byte	.	
G	fpc_in_concat_x	.	
G	fpc_in_const_abs	.	
G	fpc_in_const_odd	.	
G	fpc_in_const_ptr	.	
G	fpc_in_const_sqr	.	
G	fpc_in_const_swap_long	.	
G	fpc_in_const_swap_qword	.	
G	fpc_in_const_swap_word	.	
G	fpc_in_continue	.	
G	fpc_in_copy_x	.	
G	fpc_in_cos_real	.	
G	fpc_in_cpu_first	.	
G	fpc_in_cycle	.	
G	fpc_in_dec_x	.	
G	fpc_in_default_x	.	
G	fpc_in_delete_x_y_z	.	
G	fpc_in_dispose_x	.	
G	fpc_in_exclude_x_y	.	
G	fpc_in_exit	.	
G	fpc_in_exp_real	.	
G	fpc_in_faraddr_x	.	
G	fpc_in_fillchar_x	.	
G	fpc_in_finalize_x	.	
G	fpc_in_fma_double	.	
G	fpc_in_fma_extended	.	
G	fpc_in_fma_float128	.	
G	fpc_in_fma_single	.	
G	fpc_in_frac_real	.	
G	fpc_in_get_caller_addr	.	
G	fpc_in_get_caller_frame	.	
G	fpc_in_get_frame	.	
G	fpc_in_hi_long	.	
G	fpc_in_hi_qword	.	
G	fpc_in_hi_word	.	
G	fpc_in_high_x	.	
G	fpc_in_inc_x	.	
G	fpc_in_include_x_y	.	
G	fpc_in_initialize_x	.	
G	fpc_in_insert_x_y_z	.	
G	fpc_in_int_real	.	
G	fpc_in_leave	.	
G	fpc_in_length_string	.	
G	fpc_in_ln_real	.	
G	fpc_in_lo_long	.	
G	fpc_in_lo_qword	.	
G	fpc_in_lo_word	.	
G	fpc_in_low_x	.	
G	fpc_in_mmx_pcmpeqb	.	
G	fpc_in_mmx_pcmpeqd	.	
G	fpc_in_mmx_pcmpeqw	.	
G	fpc_in_mmx_pcmpgtb	.	
G	fpc_in_mmx_pcmpgtd	.	
G	fpc_in_mmx_pcmpgtw	.	
G	fpc_in_move_x	.	
G	fpc_in_neg_assign_x	.	
G	fpc_in_new_x	.	
G	fpc_in_not_assign_x	.	
G	fpc_in_ofs_x	.	
G	fpc_in_or_assign_x_y	.	
G	fpc_in_ord_x	.	
G	fpc_in_pack_x_y_z	.	
